package_name,duration,city_list,price,persons
"Northeast Highlights - Shillong, Tawang, Kaziranga & More",11 Nights / 12 Days,Shillong(3N) → Bhalukpong(1N) → Dirang(1N) → Tawang(2N) → Bomdila(1N) → Kaziranga(2N) → Guwahati(1N),"₹ 58,000*
                
                per adult",per adult on twin sharing
Group Tour to Arunachal Pradesh Package,7 Nights / 8 Days,Guwahati(0N) → Dirang(1N) → Tawang(2N) → Bomdila(1N) →  Ziro(2N) → Itanagar(1N),"₹ 29,999*
                
                per adult",per adult on twin sharing
7N/8D Tawang Bomdila Ziro Itanagar Group Tour (4 Persons),7 Nights / 8 Days,Dirang(1N) →  Tawang(2N) →  Bomdila(1N) →  Ziro(2N) →  Itanagar(1N),"₹ 29,999*
                
                per adult",per adult on twin sharing
Majestic Group Tour to Arunachal Pradesh with Shillong and Kaziranga,7 Nights / 8 Days,Dirang(1N) →  Tawang(2N) →  Bomdila(1N) →  Kaziranga National Park(1N) →  Shillong(1N) →  Cherrapunjee(1N),"₹ 22,999*
                
                per adult",per adult on twin sharing
Group Adventure Package to Arunachal Pradesh with Kaziranga,7 Nights / 8 Days,Bhalukpong(1N) →  Dirang(1N) →  Tawang(2N) →  Bomdila(1N) →  Kaziranga National Park(2N),"₹ 22,999*
                
                per adult",per adult on twin sharing
9 Days Group Tour Itinerary Package,8 Nights / 9 Days,Bhalukpong(1N) →  Dirang(1N) →  Tawang(2N) →  Bomdila(1N) →  Tezpur(1N) →  Shillong(1N) →  Cherrapunjee(1N),"₹ 25,999*
                
                per adult",per adult on twin sharing
Group Tour to Arunachal Pradesh Package,7 Nights / 8 Days,Guwahati(0N) → Dirang(1N) → Tawang(2N) → Bomdila(1N) → Ziro(2N) →  Itanagar(1N),"₹ 29,999*
                
                per adult",per adult on twin sharing
5 Days Delight to Arunachal Pradesh Package,4 Nights / 5 Days,Dirang(1N) →  Tawang(2N) →  Bomdila(1N),"₹ 17,999*
                
                per adult",per adult on twin sharing
The Land of Dawn: 7 Nights Tour Package,7 Nights / 8 Days,Dirang(2N) →  Tawang(2N) →  Bomdila(1N) →  Guwahati(1N),"₹ 49,990*
                
                per adult",per adult on twin sharing
"Breathtaking Northeast Honeymoon Special: Meghalaya, Assam, Arunachal",12 Nights / 13 Days,Guwahati(0N) →  Shillong(2N) →  Kaziranga National Park(2N) →  Tezpur(1N) →  Bomdila(1N) →  Tawang(2N) →  Dirang(1N) →  Bhalukpong(1N) →  Guwahati(2N),"₹ 44,000*
                
                per adult",per adult on twin sharing
Enchanting Honeymoon in Arunachal Pradesh Package,6 Nights / 7 Days,Tezpur(1N) → Dirang(1N) → Tawang(2N) → Bomdila(1N) → Guwahati(1N),"₹ 32,000*
                
                per adult",per adult on twin sharing
Super Saver Arunachal Including Ziro,8 Nights / 9 Days,Itanagar(1N) →  Ziro(2N) →   Daporijo(1N) →  Along/ Aalo(2N) →  Pasighat(1N) →  Dibrugarh(1N),"₹ 36,000*
                
                per adult",per adult on twin sharing
Gems of Northeast Including Roing,5 Nights / 6 Days,Pasighat(1N) →  Dibrugarh(1N) →  Tinsukia(1N) →  Roing(1N) →  Tezu(1N),"₹ 15,000*
                
                per adult",per adult on twin sharing
Fascinating Arunachal Pradesh Tour Itinerary 6 Days,5 Nights / 6 Days,Guwahati(1N) →  Bhalukpong(1N) →  Bomdila(1N) →  Dirang(1N) →  Tawang(1N),"₹ 23,000*
                
                per adult",per adult on twin sharing
Escape to Tawang Dirang and Bomdila Group Package,6 Nights / 7 Days,Bhalukpong(1N) →  Dirang(1N) →  Tawang(3N) →  Bomdila(1N),"₹ 19,999*
                
                per adult",per adult on twin sharing
Blissful Bhalukpong,2 Nights / 3 Days,Tezpur(0N) →  Bhalukpong(2N),"₹ 10,000*
                
                per adult",per adult on twin sharing
Arunachal Pradesh Tour Itinerary 5 Days,4 Nights / 5 Days,Guwahati(0N) →  Bhalukpong(1N) →  Dirang(1N) →  Tawang(2N),"₹ 19,000*
                
                per adult",per adult on twin sharing
