package_name,cities_to_be_visit,no_of_nights,no_of_days,price
Kinnaur Spiti Tour Package: Short Trek to Kamru Fort,"chandigarh ,   narkanda ,   sangla ,   kalpa ,   tabo ,   kaza ,   chandertal ,   manali",8,9,51900.0
Manali Tour Package for 5 Nights 6 Days,manali,5,6,10000.0
Manali Tour Package with Amritsar & Dalhousie - Free Excursion to Solang Valley,"manali ,   dharamshala  ,   dalhousie  ,   amritsar",7,8,36750.0
Kullu Manali Kasol Honeymoon Package,"manali  ,   kullu ,   kasol",5,6,22000.0
Manali Volvo Tour Package,"delhi ,   manali ,   kullu ,   manikaran",3,4,15900.0
Breathtaking Kullu Manali Family Tour Package,"delhi(0) ,   manali ,   kullu",3,4,13000.0
Manali Shimla Honeymoon Package Tour Duration 5 Nights 6 Days,"chandigarh ,   shimla ,   manali",5,6,25300.0
Manali and Shimla Tour Package: 3 Nights 4 Days,"manali ,   shimla",3,4,8500.0
Spiti Valley Bike Tour Package,"manali ,   kaza ,    pin valley ,   kaza ,   chandertal",4,5,23590.0
Shimla Manali Package from Delhi - Day Trip to Kufri,"delhi ,   shimla ,   manali",5,6,23450.0
Majestic Shimla Manali Tour Package,"manali ,   shimla",4,5,17999.0
Shimla Tour Package for 5 Days : Budget Tour by Volvo,"delhi ,   manali ,   kullu ,   naggar ,   shimla",4,5,20850.0
Shimla to Jammu Ultimate Tour Package for 12 night 13 Days,"manali ,   jispa ,   leh ,   nubra valley ,   pangong lake ,   kargil ,   srinagar ,   pahalgam",12,13,38000.0
5 Nights 6 Days Manali Tour Package,"delhi ,   manali ,   tirthan valley",5,6,24800.0
Kullu Manali Shimla Honeymoon Package,"chandigarh ,   shimla ,   kullu ,   manali",4,5,20670.0
4 Night 5 Days Manali Shimla Package - Toy Train Ride,"chandigarh ,   manali ,   shimla",4,5,12400.0
"3 Nights 4 Days Manali Package - Paragliding, Skiing, Zorbing","delhi ,   manali",3,4,13925.0
