package_name,cities_to_be_visit,no_of_nights,no_of_days,price
Uttarakhand Tour Packages for Couple,"delhi ,   kuchesar ,   jim corbett national park ,   almora ,   nainital",4,5,18000.0
Nainital Corbett Tour Packages,"delhi ,   nainital ,   jim corbett national park",3,4,13500.0
"Uttarakhand Tour Packages From Delhi: Nainital, Ranikhet, Almora & Kausani","delhi ,   nainital ,   ranikhet ,   almora ,   kausani",5,6,16450.0
Amazing Nainital Family Tour Package,"delhi ,   nainital ,  ranikhet ,  naukuchiatal ,  bhimtal",3,4,9000.0
"5 Days Honeymoon Packages in India: Nainital, Ranikhet & Kausani","delhi ,   nainital ,   kausani ,   ranikhet",4,5,13000.0
Nainital Tour Packages for Couple  with Jim Corbett,"delhi ,   nainital ,   kausani ,   ranikhet ,   jim corbett national park",6,7,24000.0
"Uttarakhand Tour Package 7 Days: Nainital, Kausani & Corbett","delhi ,   nainital ,   kausani ,   corbett national park",6,7,15000.0
Weekend Getaway from Delhi to Nainital in Volvo,"delhi ,   nainital",2,3,4500.0
Exotic Nainital Honeymoon Package,"delhi(0) ,   nainital ,   ranikhet ,   kausani ,   jim corbett national park",6,7,28900.0
3 Nights 4 Days Nainital Itinerary,"delhi ,   jim corbett national park ,   nainital",3,4,12000.0
Cheap Uttarakhand Tour Packages,"delhi ,   nainital",2,3,7450.0
Jim Corbett Family Tour Package From Delhi,"delhi ,  nainital ,  kausani ,  jim corbett national park",5,6,20500.0
Nainital & Corbett in 3 Days,"delhi ,   nainital ,   corbett",3,4,13399.0
"Charm of Kumaun Hills with Almora, Binsar & More","delhi ,   nainital ,   kausani ,   almora ,   binsar",7,8,25200.0
Relax in the Hills: Nainital - Kausani - Ranikhet Holiday Package,"delhi ,   nainital ,   kausani ,   ranikhet",8,9,31000.0
Marvellous Nainital & Mukteshwar Tour Package,"delhi ,   nainital",3,4,14900.0
"Unforgettable Rishikesh, Haridwar and Nainital Tour Package","rishikesh ,   haridwar ,   nainital",6,7,30608.0
Enchanting Uttarakhand,"delhi ,   nainital ,   corbett ,   delhi",5,6,21550.0
Nainital Best-seller from Delhi,nainital,2,3,6999.0
Beautiful Nainital with Jim Corbett National Park,"corbett national park ,   nainital",3,4,10000.0
Breathtaking Nainital & Ranikhet Self Drive From Delhi Package,"nainital ,  ranikhet",3,4,9749.0
"Splendid Nainital, Corbett & Mussoorie Tour","nainital ,  corbett ,  mussoorie",5,6,15449.0
Magical Nainital and Jim Corbett Package,"nainital ,  corbett",3,4,12500.0
Amazing Nainital & Kasauni Package,"kasauni ,  nainital",3,4,10999.0
"Misty Nainital, Kausani, Ranikhet & More","nainital ,  kausani ,  ranikhet ,  kathgodam",4,5,14499.0
Serene Nainital & Kausani Tour,"nainital ,  kausani",5,6,16506.0
Magnificent Nainital Tour,"pangot ,  pithoragarh ,  lohaghat ,  pancheswar",6,7,15865.0
"Royal Heritage Honeymoon in Delhi, Agra, Jaipur and Nainital","delhi ,   haridwar ,   nainital ,   agra ,   jaipur",6,7,24999.0
Amazing Honeymoon Tour in Nainital and Jim Corbett,"delhi ,   nainital ,   kausani ,   jim corbett national park",5,6,20500.0
Enchanting Nainital Honeymoon Package for 3 Days,"delhi ,   nainital ,  ranikhet ,  naukuchiatal ,  bhimtal",3,4,9000.0
Holiday in Almora & Ranikhet Tour Package,"delhi ,   almora ,   ranikhet",3,4,10550.0
Nainital & Jim Corbett Honeymoon Package,"delhi ,   kuchesar ,   jim corbett national park ,   almora ,   nainital",4,5,18000.0
"Blissful Honeymoon in Uttarakhand: Nainital, Ranikhet, Almora & Kausani","delhi ,   nainital ,   ranikhet ,   almora ,   kausani",5,6,21450.0
Char Dham Yatra Family Tour Package,"delhi ,   haridwar ,   barkot ,   yamountri ,   uttarkashi ,   gangotri ,    guptakashi ,   badrinath ,   rudraprayag",9,10,52000.0
Chardham Package (9N10D),"barkot ,   uttarkashi ,   guptkashi ,   kedarnath ,   badrinath ,   haridwar",9,10,25500.0
Port Blair Package 3 Nights from Kolkata,port blair,3,4,13500.0
4-Night West Bengal Itinerary with Holi Celebration,"kolkata ,   darjeeling",4,5,33000.0
Sikkim Darjeeling Package - 4 Night 5 Days,"darjeeling ,   gangtok",4,5,18500.0
Darjeeling 4 Days Tour Package,darjeeling,3,4,15750.0
Best Selling Kalimpong Gangtok Darjeeling Premium Tour Package,"siliguri ,   darjeeling ,   kalimpong ,   gangtok",6,7,28990.0
Himalayan Orchid Tour Package,"darjeeling ,  kalimpong ,   gangtok ,  lachung ,   gangtok",8,9,34300.0
Gangtok and Darjeeling Tour Package - Rafting Adventure,"gangtok ,  darjeeling",6,7,27750.0
Splendid Darjeeling Weekend Trip Package,darjeeling,2,3,9550.0
Darjeeling Package for Couple Including Gangtok and Kalimpong,"siliguri ,   gangtok ,   kalimpong ,   darjeeling",5,6,21691.0
Majestic Darjeeling Family Tour Package with Sightseeing,darjeeling,2,3,10423.0
Heaven on Hills Kalimpong & Darjeeling Tour Package,"darjeeling ,   kalimpong",3,4,12000.0
2 Nights 3 Days Darjeeling Tour Package,darjeeling,2,3,10500.0
"Gangtok, Darjeeling, Yumthang Special -7 Nights 8 Days","gangtok ,  darjeeling ,  lachung ,  lachen",7,8,37750.0
"Honeymoon Special : Gangtok, Darjeeling & Mirik","siliguri ,   gangtok ,   pelling ,   kalimpong ,   darjeeling ,   mirik",9,10,41500.0
Darjeeling Tour Package with Kalimpong,"kalimpong ,   darjeeling",3,4,12900.0
"Offbeat Northeast Tour Package: Lataguri, Darjeeling & More","lataguri ,   kalimpong ,   darjeeling ,   mirik",7,8,40650.0
"7-Day Adventure in Darjeeling, Kalimpong, and Dooars","darjeeling ,   kalimpong ,   dooars",6,7,31000.0
Darjeeling Tour Package for Family:  Gangtok & Kalimpong,"siliguri ,   gangtok ,   kalimpong ,   darjeeling",5,6,23891.0
Darjeeling Tour Package with Zuluk and Pelling,"gangtok ,   zuluk ,   pelling ,   darjeeling",7,8,32900.0
Misty Darjeeling Luxury Tour Package,"siliguri ,   darjeeling",3,4,21373.0
Best of Sikkim Package (9 Nights / 10 Days),"siliguri ,   gangtok ,   lachen ,   lachung ,   yumthang valley ,   pelling ,   darjeeling",9,10,61320.0
Darjeeling Tour Package - Excursion to Tshangu Lake,"gangtok ,  darjeeling",3,4,13700.0
Winter Deluxe Gangtok Darjeeling Holiday Package,"siliguri ,   darjeeling ,   gangtok",4,5,16400.0
New Years in Darjeeling,"gangtok ,   darjeeling",4,5,18800.0
"Mesmerizing Darjeeling, Gangtok, and Lachung Package","darjeeling  ,   gangtok  ,   lachung  ,   gangtok",6,7,24726.0
5 Nights Gangtok Darjeeling Honeymoon Special Package,"gangtok ,  darjeeling",5,6,22799.0
Himalayan Grandeur Gangtok Darjeeling Deluxe Holiday Package,"siliguri ,   darjeeling ,   gangtok",4,5,16400.0
3 Nights 4 Days North Sikkim Package,"siliguri ,   gangtok",3,4,13600.0
Amazing Tour Package to Darjeeling and Gangtok,"siliguri ,   gangtok ,   pelling ,   darjeeling",6,7,28017.0
Sikkim Lachung Tour Package,"siliguri ,   gangtok ,   lachung",5,6,21999.0
Super Amazing Darjeeling Package,"siliguri ,   darjeeling ,   gangtok",5,6,7700.0
Amazing Tour Package to Gangtok,"siliguri ,   gangtok",3,4,12300.0
Simply Bankura,bankura,2,3,7500.0
Charms of Bankura and Kolkata,"bankura ,  kolkata",2,3,8000.0
"Splendid Bankura, Digha and Kolkata","bankura ,  kolkata ,  digha",3,4,11500.0
Andaman Island Hopping Tour Package,"port blair ,   havelock ,   neil island",4,5,19430.0
Andaman Tour Package for Family,"port blair ,   ross island ,   coral island ,   havelock ,   baratang island  ,   port blair",5,6,20500.0
Andaman Island Trip Package - Snorkeling at Elephant Beach,"port blair ,   havelock ,   neil island ,  port blair",7,8,32999.0
Andaman LTC Tour Package,"port blair ,   havelock ,   neil island ,   port blair",6,7,29000.0
Andaman Honeymoon Package with Port Blair Stay,port blair,2,3,15500.0
Andaman Package for 5 Days - Beautiful Sunset at Radhanagar Beach,"port blair ,   havelock ,   port blair",4,5,21000.0
Budget  Escape to Andaman Tour Package,"port blair ,   neil island ,   havelock ,   port blair",6,7,28000.0
Andaman 4 Nights 5 Days Package with Mount Harriet National Park,"port blair ,   havelock ,   port blair",4,5,23000.0
Andaman Family Holiday Tour Package,"port blair ,   havelock ,   neil island ,   port blair",3,4,18500.0
Amazing Honeymoon Tour to Port Blair and Havelock,"port blair ,   havelock",3,4,21360.0
7 Nights 8 Days Andaman Tour Package  with Snorkeling and Scuba Diving,"port blair ,   havelock ,   neil island ,   port blair",7,8,33600.0
Alluring Andaman Premium Holiday Package (with Ross & North Bay Island),"port blair ,   havelock ,   neil island ,   port blair",5,6,22400.0
Lovers Paradise Andaman Honeymoon Package with Chidiya Tapu,"port blair ,  havelock ,  neil island",4,5,22500.0
Extensive Islands Tour to Andaman with Jolly Buoy Island,"port blair ,   havelock ,   ross island ,   viper island  ,   baratang island  ,   port blair",7,8,34123.0
Andaman Special Package - Underwater Sea Walk and Sea Plane Ride,"port blair ,   viper island ,   havelock island",9,10,55000.0
Scuba Diver Certification Course Holiday in Andaman,"port blair ,   havelock",6,7,75500.0
Experiential Escape in Port Blair - Free Scuba Diving Classes,port blair,4,5,21119.0
Best Andaman Tour Package,"port blair ,   havelock ,   port blair",5,6,26700.0
Family Sightseeing - Port Blair Package,"port blair ,   havelock ,   port blair",4,5,21000.0
Andaman Tour Package for Senior Citizens,"port blair ,   havelock ,   port blair",4,5,20000.0
"Island Hopping Package -  Port Blair, Ross Island and Havelock Island","port blair  ,   ross island  ,   havelock island",5,6,26961.0
Exotic Andaman Getaway: 5 Day Itinerary,"port blair ,   havelock",4,5,18766.0
Cheapest Andaman Tour Packages,"port blair ,   havelock ,   neil island",6,7,31714.0
6 Nights 7 Days Andaman Honeymoon Package,"port blair ,   havelock ,   neil island ,   port blair",6,7,31890.0
Andaman Honeymoon Package from Bangalore,"bangalore ,   port blair ,   havelock ,   port blair",5,6,22550.0
Andaman Honeymoon Package with Couple Photoshoot,"port blair ,   havelock ,   neil island ,   baratang  ,   port blair",8,9,42600.0
Luxury Honeymoon Package Andaman: 4 Star Special,"port blair ,  havelock ,   port blair",5,6,31000.0
Andaman Nicobar Island Package with Sea Karting,"port blair ,   havelock ,   port blair",3,4,15500.0
Andaman Package for Couple,"port blair ,   havelock ,   neil island ,   port blair",5,6,15500.0
Andaman Honeymoon Package All Inclusive: Made in Heaven,"port blair ,   havelock ,   neil island ,  port blair",7,8,34999.0
Bestseller Andaman Package for 5 Nights,"port blair ,   havelock ,   neil islands",5,6,23000.0
Andaman 6 Nights 7 Days Package - Honeymoon Special,"port blair ,   havelock ,   baratang island  ,   port blair",6,7,26100.0
Holiday in Andaman Tour Package From Delhi,"port blair ,   havelock ,   port blair ,   neil island ,   port blair",3,4,22200.0
8 Nights Andaman Honeymoon Package,"port blair ,   havelock ,   neil island ,   baratang  ,   port blair",8,9,41600.0
Bestseller Andaman Family Package - Free Stay for Children Under 5 Years,"port blair ,   havelock ,   neil island ,   port blair",5,6,25000.0
Honeymoon in Andaman - 4 Nights / 5 Days Package,"port blair ,  havelock ,   port blair",4,5,19999.0
Surreal Andaman Holiday Package from Bangalore,"port blair ,   havelock ,   neil island ,   port blair",3,4,28500.0
Exotic Andaman Tour Package with Wandoor Island Trip,"port blair ,   havelock ,   neil island ,  port blair",6,7,31500.0
Splendid Leisure De' Andamans,"port blair ,   havelock ,   neil island",5,6,24450.0
Luxury Andaman Tour Package with Snorkelling,"port blair ,   havelock ,   port blair",5,6,36000.0
"Amazing Honeymoon Tour to Port Blair, Havelock and Ross Island","port blair ,   havelock ,   port blair",4,5,18119.0
Andaman Nicobar Couple Package,"port blair ,  havelock ,   port blair",5,6,22800.0
Alluring Andaman Honeymoon Package,"port blair ,  ross island & north bay ,  havelock ,  neil island ,   port blair",7,8,33000.0
Amazing Andaman Family Package,port blair,3,4,14000.0
Andaman Tour Package -  Sea Shell Accomdations,"port blair ,   havelock ,   neil island ,   port blair",5,6,32000.0
Andaman Tour Packages - Sea Shell Hotel,"port blair  ,   havelock island  ,   neil island  ,   port blair",6,7,35714.0
Andaman Package - Unexplored Destinations,"port blair ,   havelock ,   neil island ,   port blair",6,7,30650.0
Simply Andaman Tour Package 5 Nights,"port blair ,   havelock island ,  neil island",5,6,19500.0
Romantic Getaway: 6-Day Honeymoon Itinerary,"port blair ,  havelock",5,6,17599.0
Andaman Honeymoon Package - Discover Unexplored Destination,"port blair ,  viper island ,  havelock ,  neil island",6,7,34650.0
7 Nights 8 Days Andaman Honeymoon Package From Delhi By Flight,"port blair ,   havelock ,   neil island ,   port blair",7,8,38600.0
Exotic Andaman Honeymoon Package with Wandoor Island Trip,"port blair ,   havelock ,   neil island ,  port blair",6,7,29500.0
Andaman Tour Package For Couples From Mumbai  By Flight,"port blair ,   havelock ,   neil island ,   port blair",7,8,38600.0
Fascinating Andaman Tour Package,"port blair ,   havelock ,   neil island",6,7,14150.0
Blissful Andaman Island Tour Package,"port blair ,  havelock ,  neil island",6,7,23500.0
Dream Honeymoon to Andaman Tour Package with Free Photoshoot,"port blair ,   havelock ,   neil island",4,5,16300.0
Andaman at a Glance: 4-Night Tour Package,"port blair ,   havelock ,   neil island",4,5,12516.0
Memorable Andaman Tour Package,"port blair ,   havelock ,   neil island",7,8,15791.0
Paradise in Havelock: 6-Night Tour Package,"port blair ,   havelock ,   neil island",6,7,15895.0
Magical Andaman Holiday Package with Day Trip to Ross Island,"port blair ,   havelock ,   neil island",6,7,15206.0
Romantic Vacation in Andaman with Day Trip to Neil Island,"port blair ,   havelock ,   neil island",6,7,15996.0
Best of Andaman Tour Package For 8 Days,"port blair ,   havelock ,   neil island",7,8,18684.0
Couple Special Andaman Tour Package,"port blair ,   havelock ,   neil island",7,8,15546.0
Amazing Andaman Tour Package,"port blair ,   havelock ,   neil island",7,8,17752.0
Fascinating Andaman Tour Package for 7 Nights/8 Days,"port blair ,   havelock ,   neil island",7,8,18941.0
Kashmir Tulip Package 3 Nights 4 Days,"srinagar ,   srinagar",3,4,20999.0
4 Night 5 Days Kashmir Tour Package,"srinagar ,   gulmarg ,   pahalgam",4,5,21000.0
Kashmir Winter Special 2024 Package,"srinagar ,   pahalgam ,   srinagar",5,6,22000.0
Kashmir Deluxe Package: 6 Nights 7 Days Tour,"srinagar ,   pahalgam ,   srinagar",6,7,15500.0
Captivating Kashmir Tour Package with Gurez Valley,"srinagar ,   gulmarg ,   gurez valley ,   pahalgam ,    srinagar",7,8,38390.0
Srinagar Package for 3 Nights - Shikara Ride on Dal Lake,"srinagar ,   gulmarg ,   pahalgam",3,4,19600.0
Kashmir Honeymoon Package for 4 Nights 5 Days,srinagar,4,5,11000.0
Admirable Kashmir Tour Package,"srinagar ,   srinagar",3,4,9999.0
Srinagar Package for 4 Nights with Sonamarg Excursion,"pahalgam ,   gulmarg ,   srinagar ,   sonamarg",4,5,22250.0
5 Nights Kashmir Tour Package,"srinagar ,   pahalgam",5,6,12499.0
Srinagar Ladakh Adventure Tour Package,"srinagar ,   kargil ,   leh ,   nubra valley ,   pangong lake",7,8,23900.0
Srinagar Tour Packages 3 Nights 4 Days: Paradise on Earth Family Holiday,"srinagar ,   gulmarg ,   pahalgam ,   aru and betaab valley",3,4,19000.0
Best of Kashmir Tour Package for 5 Nights/6 Days,"srinagar ,   pahalgam ,   srinagar",5,6,29999.0
Best Deal Kashmir Package with Houseboat Stay in Srinagar,"srinagar houseboat ,   sonamarg ,   pahalgam ,   gulmarg",5,6,25500.0
Srinagar Family Tour Package with Houseboat Stay Experience,"srinagar houseboat ,   sonamarg ,   gulmarg ,   pahalgam ,   srinagar",4,5,21499.0
"Picturesque Honeymoon - Srinagar, Gulmarg, Pahalgam & Sonamarg Package","srinagar houseboat ,   gulmarg ,   pahalgam ,   srinagar ,   sonmarg",5,6,12800.0
Kashmir with Mata Vaishno Devi 7 Night 8 Days Package,"katra ,   srinagar ,   srinagar ,   pahalgam",7,8,52000.0
Best Package for Kashmir: Srinagar & Gulmarg  Special,"srinagar houseboat ,   sonamarg ,   gulmarg",3,4,15999.0
Romantic Srinagar Luxury Tour Package with Pahalgam,"srinagar houseboat ,   gulmarg ,   pahalgam ,   aru valley ,   sonamarg ,   srinagar",6,7,41000.0
Kashmir Offbeat Explorer Package with Lolab Valley,"srinagar ,   lolab valley ,    gulmarg ,   pahalgam ,  srinagar",5,6,32000.0
Srinagar Tour Package 8 Nights 9 Days - Gondola Ride,"srinagar houseboat ,   gulmarg ,  pahalgam ,   aru and behtab valley ,  srinagar",8,9,45500.0
Srinagar Leh Manali Tour Package,"srinagar ,   leh ,   nubra ,   leh ,   sarchu ,   manali",9,10,58000.0
Kashmir Offbeat Tour Packages,"srinagar ,   gurez valley ,   bangus valley ,   tarsar lake ,   yusmarg ,   doodhpathri",6,7,35498.0
Srinagar Kashmir Tour Package: Boating at Dal Lake,"srinagar houseboat ,   srinagar ,   pahalgam ,   gulmarg",4,5,21850.0
Kashmir Tour Package 6 Nights 7 Days - Complimentary Photoshoot,"srinagar houseboat ,   pahalgam ,   srinagar ,   sonamarg ,   gulmarg",6,7,41549.0
Kashmir Tour Packages for Couple with Srinagar and Sonamarg Stay,"srinagar ,   pahalgam ,   gulmarg ,   sonamarg ,   srinagar houseboat",6,7,30498.0
"Kashmir Itinerary: Srinagar, Gurez Valley, Wular Lake and More","srinagar ,   gulmarg ,   gurez valley ,   sonamarg ,   pahalgam ,    srinagar",7,8,40390.0
Lolab Valley and Kashmir - Quick Getaway,"srinagar ,   lolab valley ,   srinagar",5,6,30000.0
Kashmir Honeymoon Tour Package with Houseboat Stay,"srinagar houseboat ,   gulmarg ,   pahalgam ,   srinagar ,   sonamarg",7,8,39999.0
Love in Kashmir Honeymoon Special Package,"srinagar ,   pahalgam ,   srinagar",5,6,18999.0
Kashmir 8 Days Itinerary: Enthralling Trip with Srinagar Houseboat Stay,"srinagar houseboat ,   gulmarg ,   pahalgam ,   srinagar ,   sonamarg",7,8,34000.0
Kashmir Honeymoon Itinerary: Your Dream Honeymoon (with Photoshoot),"srinagar ,   sonamarg ,   pahalgam",5,6,26100.0
Srinagar Gulmarg Package: Excursion to Pahalgam Valley,"srinagar ,  pahalgam ,  gulmarg ,   srinagar houseboat",6,7,35498.0
Kashmir Srinagar Tour Package - Gondola Ride to Khilangmarg,"srinagar ,   gulmarg ,   srinagar",4,5,20800.0
Srinagar Leh Ladakh Tour Package  for 8 Day,"srinagar ,   kargil ,   leh ,   nubra valley ,   pangong tso",8,9,74870.0
Best Honeymoon Package for Kashmir - 6 Nights 7 Days,"srinagar houseboat ,   srinagar ,   sonamarg ,   pahalgam ,   behatb valley ,   gulmarg",6,7,30000.0
Kashmir Sightseeing Tour Package for 5 Nights,"srinagar ,   sonamarg ,   gulmarg ,   pahalgam",5,6,27100.0
Cheapest Srinagar Tour Packages: Honeymoon Edition,"srinagar houseboat ,   srinagar ,   gulmarg ,   pahalgam",3,4,15500.0
Gulmarg Kashmir Honeymoon Package: Stay at Khyber Himalayan Resort,"srinagar houseboat ,   srinagar ,   pahalgam ,   gulmarg",4,5,58800.0
Kashmir Leh Ladakh Package: Luxury Tour,"srinagar houseboat ,   gulmarg ,   kargil  ,   leh",7,8,51500.0
Srinagar Tour Package with Vaishno Devi,"jammu ,   katra ,   pahalgam ,   srinagar",6,7,24999.0
Vaishno Devi and Kashmir Tour Package,"srinagar ,   katra ,   pahalgam ,   srinagar",7,8,35200.0
4 Night 5 Days Srinagar Pahalgam Honeymoon Holiday Package,"srinagar ,   pahalgam ,   srinagar houseboat",4,5,20500.0
Srinagar Tour Pckage from Delhi - Amarnath Yatra with Vaishno Devi,"delhi  ,   katra ,  srinagar ,  amarnath ,  jammu ,  amritsar",10,11,46999.0
Srinagar Gulmarg Pahalgam Tour Package with Boat Ride on Dal Lake,"pahalgam ,   gulmarg ,   srinagar houseboat ,   srinagar",6,7,31999.0
Extensive Jammu Kashmir Holiday Package,"jammu ,   srinagar ,   gulmarg ,   sonamarg ,   pahalgam",8,9,42700.0
6 Nights 7 Days Kashmir Best Tour Package - Gondola Ride,"jammu ,   patnitop ,   srinagar ,   gulmarg ,   pahalgam",6,7,32034.0
Magnificent Kashmir Tour Package by Train,"kolkata ,   jammu ,   katra ,   vaishno devi ,   srinagar ,   pahalgam ,   patnitop",13,14,54500.0
Leh Ladakh Manali Tour Package with Kargil & Srinagar,"srinagar ,   kargil ,   leh ,   pangong lake ,   nubra valley ,   tso moriri ,   manali",13,14,100519.0
Picturesque Kashmir Honeymoon - Professional Photoshoot,"srinagar houseboat ,   gulmarg ,   pahalgam ,   srinagar ,   sonmarg",5,6,12800.0
Gulmarg Tour Package for 5 Nights with Sonamarg Excursion,"pahalgam ,   gulmarg ,   srinagar ,   sonamarg",4,5,22250.0
Kashmir Gulmarg Tour Package - Gondola Ride to Khilangmarg,"srinagar ,   gulmarg ,   srinagar",4,5,20800.0
Gulmarg Package from Delhi,"srinagar ,   gulmarg ,   sonamarg ,   srinagar",5,6,23800.0
Gulmarg Honeymoon Package with Stay at Khyber Himalayan Resort,gulmarg,2,3,70900.0
