package_name,category_of_package,cities_to_be_visit,count_of_cities,categories_by_days,no_of_nights,no_of_days,categories_by_price,accommodation_facility,price,tokenized_cities_to_be_visit,tokenized_package_name
classic leh ladakh honeymoon package - 5 nights 6 days,honeymoon_package,"leh ,   nubra valley",3,medium trip,5,6,standard,3-star hotel,25999.0,"['leh', 'nubra', 'valley']","['Classic', 'Leh', 'Ladakh', 'Honeymoon', 'Package', '5', 'Nights', '6', 'Days']"
srinagar leh ladakh honeymoon package  for 8 day,honeymoon_package,"srinagar ,   kargil ,   leh ,   nubra valley ,   pangong tso",7,long trip,8,9,luxury,5-star resort,70870.0,"['srinagar', 'kargil', 'leh', 'nubra', 'valley', 'pangong', 'tso']","['Srinagar', 'Leh', 'Ladakh', 'Honeymoon', 'Package', 'for', '8', 'Day']"
"honeymoon special: leh, nubra & sham valley with stargazing at pangong",honeymoon_package,"leh  ,    pangong lake  ,    leh  ,    nubra valley  ,    leh",7,medium trip,6,7,standard,3-star hotel,29999.0,"['leh', 'pangong', 'lake', 'leh', 'nubra', 'valley', 'leh']","['Honeymoon', 'Special', 'Leh', 'Nubra', 'Sham', 'Valley', 'with', 'Stargazing', 'at', 'Pangong']"
honeymoon in ladakh: 8n/9d,honeymoon_package,"leh  ,    pangong lake  ,    nubra valley  ,    leh  ,    tso moriri  ,   leh",9,long trip,8,9,premium,4-star hotel,38499.0,"['leh', 'pangong', 'lake', 'nubra', 'valley', 'leh', 'tso', 'moriri', 'leh']","['Honeymoon', 'in', 'Ladakh', '8N9D']"
"honeymoon in leh, nubra & pangong",honeymoon_package,"leh  ,   nubra  ,   leh  ,   pangong  ,   leh",5,medium trip,6,7,standard,3-star hotel,29000.0,"['leh', 'nubra', 'leh', 'pangong', 'leh']","['Honeymoon', 'in', 'Leh', 'Nubra', 'Pangong']"
ladakh & kargil honeymoon package for explorer couple,honeymoon_package,"srinagar ,   kargil ,   leh ,   nubra valley ,   pangong tso",7,long trip,8,9,premium,4-star hotel,38870.0,"['srinagar', 'kargil', 'leh', 'nubra', 'valley', 'pangong', 'tso']","['Ladakh', 'Kargil', 'Honeymoon', 'Package', 'for', 'Explorer', 'Couple']"
soulmate special leh ladakh (flight tickets included),holiday_package,"leh ,   nubra valley ,   pangong ,   leh",5,medium trip,6,7,premium,5-star hotel,34000.0,"['leh', 'nubra', 'valley', 'pangong', 'leh']","['Soulmate', 'Special', 'Leh', 'Ladakh', 'Flight', 'Tickets', 'Included']"
"leh, nubra, pangong honeymoon package for adventurer couple",honeymoon_package,"leh ,   nubra valley ,   pangong lake ,   leh",6,medium trip,6,7,standard,3-star hotel,26000.0,"['leh', 'nubra', 'valley', 'pangong', 'lake', 'leh']","['Leh', 'Nubra', 'Pangong', 'Honeymoon', 'Package', 'for', 'Adventurer', 'Couple']"
unforgettable leh honeymoon package with pangong stay,honeymoon_package,"leh ,   pangong ,   leh",3,medium trip,5,6,standard,3-star hotel,21412.0,"['leh', 'pangong', 'leh']","['Unforgettable', 'Leh', 'Honeymoon', 'Package', 'with', 'Pangong', 'Stay']"
leh ladakh honeymoon package (winter special),honeymoon_package,leh,1,medium trip,4,5,standard,3-star hotel,15999.0,['leh'],"['Leh', 'Ladakh', 'Honeymoon', 'Package', 'Winter', 'Special']"
"honeymoon in leh, nubra & pangong tour with overnight camping",honeymoon_package,"leh ,  nubra ,  leh ,  pangong ,  leh",5,medium trip,6,7,standard,3-star hotel,20999.0,"['leh', 'nubra', 'leh', 'pangong', 'leh']","['Honeymoon', 'in', 'Leh', 'Nubra', 'Pangong', 'Tour', 'with', 'Overnight', 'Camping']"
leh ladakh tour package for 6 night 7 days,holiday_package,"leh ,   nubra valley ,   pangong lake",5,medium trip,6,7,standard,3-star hotel,26000.0,"['leh', 'nubra', 'valley', 'pangong', 'lake']","['Leh', 'Ladakh', 'Tour', 'Package', 'for', '6', 'Night', '7', 'Days']"
leh ladakh tour package for 5 night 6 days,holiday_package,"leh ,   nubra valley ,   pangong lake",5,medium trip,5,6,standard,3-star hotel,20000.0,"['leh', 'nubra', 'valley', 'pangong', 'lake']","['Leh', 'Ladakh', 'Tour', 'Package', 'For', '5', 'Night', '6', 'Days']"
ladakh the land of lamas 6 night 7 days package,holiday_package,"leh ,   pangong lake ,   nubra valley",5,medium trip,6,7,standard,3-star hotel,19000.0,"['leh', 'pangong', 'lake', 'nubra', 'valley']","['Ladakh', 'The', 'Land', 'Of', 'Lamas', '6', 'Night', '7', 'Days', 'Package']"
best leh ladakh tour packages - 7 nights & 8 days,holiday_package,"leh  ,   nubra valley ,   pangong lake ,   leh",6,long trip,7,8,premium,4-star hotel,40999.0,"['leh', 'nubra', 'valley', 'pangong', 'lake', 'leh']","['Best', 'Leh', 'Ladakh', 'Tour', 'Packages', '7', 'Nights', '8', 'Days']"
ladakh tour with overnight camping in nubra & pangong,nature_package,"leh ,   nubra valley ,   leh ,   pangong ,   leh",6,medium trip,6,7,premium,5-star hotel,30340.0,"['leh', 'nubra', 'valley', 'leh', 'pangong', 'leh']","['Ladakh', 'Tour', 'with', 'Overnight', 'Camping', 'in', 'Nubra', 'Pangong']"
himalayan caravan deluxe tour package,holiday_package,"srinagar ,   kargil ,   ule ,   leh ,   pangong lake ,   leh ,    nubra valley ,   leh",10,long trip,7,8,premium,4-star hotel,34000.0,"['srinagar', 'kargil', 'ule', 'leh', 'pangong', 'lake', 'leh', 'nubra', 'valley', 'leh']","['Himalayan', 'Caravan', 'Deluxe', 'Tour', 'Package']"
leh ladakh tour packages for couple,honeymoon_package,"leh ,   tso moriri ,   leh ,   sumur ,   leh",6,medium trip,6,7,standard,3-star hotel,30000.0,"['leh', 'tso', 'moriri', 'leh', 'sumur', 'leh']","['Leh', 'Ladakh', 'Tour', 'Packages', 'for', 'Couple']"
"glimpse of kashmir, kargil and ladakh holiday package",holiday_package,"srinagar houseboat ,  kargil ,   leh ,   pangong lake ,   leh ,  nubra valley ,   leh",10,long trip,9,10,luxury,5-star resort,78040.0,"['srinagar', 'houseboat', 'kargil', 'leh', 'pangong', 'lake', 'leh', 'nubra', 'valley', 'leh']","['Glimpse', 'of', 'Kashmir', 'Kargil', 'and', 'Ladakh', 'Holiday', 'Package']"
leh ladakh tour packages from mumbai,holiday_package,"mumbai ,   leh ,   nubra valley ,   pangong ,   leh",6,medium trip,6,7,luxury,high-end luxury resort,60000.0,"['mumbai', 'leh', 'nubra', 'valley', 'pangong', 'leh']","['Leh', 'Ladakh', 'Tour', 'Packages', 'from', 'Mumbai']"
ladakh undiscovered luxury tour package,luxury_package,"leh ,  nubra valley ,  alchi ,  pangong lake",6,long trip,7,8,premium,4-star hotel,36100.0,"['leh', 'nubra', 'valley', 'alchi', 'pangong', 'lake']","['Ladakh', 'Undiscovered', 'Luxury', 'Tour', 'Package']"
mystical kashmir and leh ladakh tour package,holiday_package,"srinagar houseboat ,  kargil ,  leh ,  nubra valley ,  pangong lake ,  manali",9,long trip,9,10,luxury,5-star resort,80000.0,"['srinagar', 'houseboat', 'kargil', 'leh', 'nubra', 'valley', 'pangong', 'lake', 'manali']","['Mystical', 'Kashmir', 'and', 'Leh', 'Ladakh', 'Tour', 'Package']"
magical ladakh with nubra honeymoon tour package,honeymoon_package,"leh ,   nubra valley ,   pangong  ,   leh",5,medium trip,5,6,standard,3-star hotel,24499.0,"['leh', 'nubra', 'valley', 'pangong', 'leh']","['Magical', 'Ladakh', 'With', 'Nubra', 'Honeymoon', 'Tour', 'Package']"
ladakh tour packages from bangalore,holiday_package,"bangalore ,   leh ,   nubra valley ,   pangong ,   leh",6,medium trip,6,7,premium,5-star hotel,40000.0,"['bangalore', 'leh', 'nubra', 'valley', 'pangong', 'leh']","['Ladakh', 'Tour', 'Packages', 'From', 'Bangalore']"
leh ladakh tour packages itinerary,holiday_package,"leh ,   pangong",2,medium trip,5,6,standard,3-star hotel,22650.0,"['leh', 'pangong']","['Leh', 'Ladakh', 'Tour', 'Packages', 'Itinerary']"
delights of leh & nubra holiday package,holiday_package,"leh  ,   pangong lake  ,   nubra valley  ,   leh",6,medium trip,6,7,standard,3-star hotel,29499.0,"['leh', 'pangong', 'lake', 'nubra', 'valley', 'leh']","['Delights', 'of', 'Leh', 'Nubra', 'Holiday', 'Package']"
ladakh budget tour packages,budget_package,leh,1,medium trip,5,6,standard,3-star hotel,29799.0,['leh'],"['Ladakh', 'Budget', 'Tour', 'Packages']"
highlights of ladakh group tour package,family_package,"leh ,  nubra valley ,   leh",4,medium trip,5,6,standard,3-star hotel,23900.0,"['leh', 'nubra', 'valley', 'leh']","['Highlights', 'of', 'Ladakh', 'Group', 'Tour', 'Package']"
grand ladakh luxury holiday package,luxury_package,"leh ,   uleytokpo ,   leh",3,medium trip,5,6,premium,5-star hotel,38500.0,"['leh', 'uleytokpo', 'leh']","['Grand', 'Ladakh', 'Luxury', 'Holiday', 'Package']"
"dazzle in nubra, leh & pangong",holiday_package,"leh  ,   nubra  ,   leh  ,   pangong  ,   leh",5,medium trip,6,7,standard,3-star hotel,29000.0,"['leh', 'nubra', 'leh', 'pangong', 'leh']","['Dazzle', 'in', 'Nubra', 'Leh', 'Pangong']"
amazing road trip package to kashmir and ladakh,holiday_package,"srinagar ,  sonamarg ,  leh ,  nubra valley ,  pangong lake",7,long trip,7,8,luxury,5-star resort,50999.0,"['srinagar', 'sonamarg', 'leh', 'nubra', 'valley', 'pangong', 'lake']","['Amazing', 'Road', 'Trip', 'Package', 'to', 'Kashmir', 'and', 'Ladakh']"
kashmir tour package 10 nights 11 days with ladakh,holiday_package,"srinagar ,   kargil ,   leh ,   nubra valley ,   hunder ,   pangong ,   leh",8,long trip,10,11,luxury,5-star resort,88700.0,"['srinagar', 'kargil', 'leh', 'nubra', 'valley', 'hunder', 'pangong', 'leh']","['Kashmir', 'Tour', 'Package', '10', 'Nights', '11', 'Days', 'with', 'Ladakh']"
leh ladakh & himachal pradesh: bike trip package,adventure_package,"manali ,  pangong lake ,  nubra valley ,  sonamarg ,  ladakh",7,long trip,10,11,luxury,5-star resort,60500.0,"['manali', 'pangong', 'lake', 'nubra', 'valley', 'sonamarg', 'ladakh']","['Leh', 'Ladakh', 'Himachal', 'Pradesh', 'Bike', 'Trip', 'Package']"
ultimate ladakh road trip package,holiday_package,"leh ,   nubra valley ,   pangong lake ,   leh",6,medium trip,5,6,standard,3-star hotel,26999.0,"['leh', 'nubra', 'valley', 'pangong', 'lake', 'leh']","['Ultimate', 'Ladakh', 'Road', 'Trip', 'Package']"
leh ladakh tour packages with bike - stay at camp,adventure_package,"leh ,  pangong lake ,  nubra valley ,   tsomoriri lake",7,medium trip,6,7,premium,5-star hotel,32500.0,"['leh', 'pangong', 'lake', 'nubra', 'valley', 'tsomoriri', 'lake']","['Leh', 'Ladakh', 'Tour', 'Packages', 'with', 'Bike', 'Stay', 'at', 'Camp']"
ultimate bike roadtripping from manali to ladakh and srinagar,adventure_package,"manali ,  jispa ,  leh ,  nubra valley ,  pangong lake ,  kargil ,  srinagar",9,long trip,11,12,luxury,5-star resort,82000.0,"['manali', 'jispa', 'leh', 'nubra', 'valley', 'pangong', 'lake', 'kargil', 'srinagar']","['Ultimate', 'Bike', 'Roadtripping', 'from', 'Manali', 'to', 'Ladakh', 'and', 'Srinagar']"
sightseeing jammu tour package,holiday_package,jammu,1,medium trip,3,4,budget,budget hotel,15000.0,['jammu'],"['Sightseeing', 'Jammu', 'Tour', 'Package']"
kashmir tour package with vaishno devi,spiritual packages,"jammu ,   katra ,   patnitop",3,medium trip,4,5,standard,3-star hotel,17600.0,"['jammu', 'katra', 'patnitop']","['Kashmir', 'Tour', 'Package', 'with', 'Vaishno', 'Devi']"
religious tour of vaishno devi from jammu,spiritual packages,"jammu ,   katra ,   vaishno devi",4,short trip,2,3,budget,low-cost apartment,9000.0,"['jammu', 'katra', 'vaishno', 'devi']","['Religious', 'Tour', 'of', 'Vaishno', 'Devi', 'from', 'Jammu']"
vaishno devi with kashmir tour package,spiritual packages,"jammu  ,   katra ,  pahalgam ,  gulmarg ,  srinagar",5,medium trip,6,7,standard,3-star hotel,23899.0,"['jammu', 'katra', 'pahalgam', 'gulmarg', 'srinagar']","['Vaishno', 'Devi', 'with', 'Kashmir', 'Tour', 'Package']"
"full of wonders - jammu, katra and patnitop",holiday_package,"jammu ,  katra ,  patnitop ,  katra",4,medium trip,6,7,standard,3-star hotel,26000.0,"['jammu', 'katra', 'patnitop', 'katra']","['Full', 'of', 'Wonders', 'Jammu', 'Katra', 'and', 'Patnitop']"
"majestic jammu, vaishno, pahalgam & more",spiritual packages,"jammu ,   vaishno ,   pahalgam ,   gulmarg ,   srinagar",5,medium trip,6,7,premium,5-star hotel,32000.0,"['jammu', 'vaishno', 'pahalgam', 'gulmarg', 'srinagar']","['Majestic', 'Jammu', 'Vaishno', 'Pahalgam', 'More']"
splendid jammu tour package with patnitop,holiday_package,"jammu ,  patnitop",2,medium trip,4,5,standard,3-star hotel,18000.0,"['jammu', 'patnitop']","['Splendid', 'Jammu', 'Tour', 'Package', 'with', 'Patnitop']"
vaishno devi jammu tour package - 7 nights 8 days,spiritual packages,"jammu  ,   katra ,  pahalgam ,  gulmarg ,  srinagar",5,long trip,7,8,standard,standard hotel,29900.0,"['jammu', 'katra', 'pahalgam', 'gulmarg', 'srinagar']","['Vaishno', 'Devi', 'Jammu', 'Tour', 'Package', '7', 'Nights', '8', 'Days']"
breathtaking jammu tour package with vaishno devi darshan,spiritual packages,"jammu ,   katra ,  pahalgam ,  gulmarg ,  srinagar",5,long trip,7,8,standard,standard hotel,29500.0,"['jammu', 'katra', 'pahalgam', 'gulmarg', 'srinagar']","['Breathtaking', 'Jammu', 'Tour', 'Package', 'With', 'Vaishno', 'Devi', 'Darshan']"
divine katra and dharamshala tour,spiritual packages,"jammu ,   katra ,   dharamshala ,   dalhousie",4,medium trip,5,6,standard,3-star hotel,23999.0,"['jammu', 'katra', 'dharamshala', 'dalhousie']","['Divine', 'Katra', 'and', 'Dharamshala', 'Tour']"
jammu kashmir vaishno devi dham & houseboat stay,spiritual packages,"jammu ,   katra ,  pahalgam ,  srinagar ,  gulmarg",5,long trip,8,9,premium,4-star hotel,39200.0,"['jammu', 'katra', 'pahalgam', 'srinagar', 'gulmarg']","['Jammu', 'Kashmir', 'Vaishno', 'Devi', 'Dham', 'Houseboat', 'Stay']"
vaishno devi special tour package from jammu,spiritual packages,"jammu  ,   vaishno devi",3,short trip,2,3,budget,low-cost apartment,10500.0,"['jammu', 'vaishno', 'devi']","['Vaishno', 'Devi', 'Special', 'Tour', 'Package', 'From', 'Jammu']"
"panoramic jammu, srinagar, pahalgam & more",offbeat_package,"pahalgam ,   srinagar ,   gulmarg ,   jammu",4,medium trip,5,6,standard,3-star hotel,28000.0,"['pahalgam', 'srinagar', 'gulmarg', 'jammu']","['Panoramic', 'Jammu', 'Srinagar', 'Pahalgam', 'More']"
vaishno devi darshan by helicopter tour,spiritual packages,katra,1,short trip,2,3,standard,serviced apartment,16500.0,['katra'],"['Vaishno', 'Devi', 'Darshan', 'By', 'Helicopter', 'Tour']"
vaishno devi helicopter tour package,spiritual packages,"jammu  ,   katra ,   vaishno devi",4,short trip,1,2,standard,serviced apartment,15200.0,"['jammu', 'katra', 'vaishno', 'devi']","['Vaishno', 'Devi', 'Helicopter', 'Tour', 'Package']"
beautiful vaishno devi with jammu,spiritual packages,"vaishno devi  ,   jammu",3,medium trip,3,4,budget,budget hotel,10499.0,"['vaishno', 'devi', 'jammu']","['Beautiful', 'Vaishno', 'Devi', 'with', 'Jammu']"
jammu and kashmir honeymoon special,honeymoon_package,"jammu ,  patnitop ,  srinagar ,  gulmarg ,  pahalgam ,  patnitop",6,medium trip,6,7,standard,3-star hotel,18000.0,"['jammu', 'patnitop', 'srinagar', 'gulmarg', 'pahalgam', 'patnitop']","['Jammu', 'and', 'Kashmir', 'Honeymoon', 'Special']"
enchanting jammu and patnitop tour,holiday_package,"jammu ,  patnitop",2,medium trip,4,5,budget,budget hotel,12000.0,"['jammu', 'patnitop']","['Enchanting', 'Jammu', 'and', 'Patnitop', 'Tour']"
magical jammu and katra package,holiday_package,"jammu ,  katra",2,short trip,2,3,budget,low-cost apartment,8000.0,"['jammu', 'katra']","['Magical', 'Jammu', 'and', 'Katra', 'Package']"
simply jammu tour,holiday_package,jammu,1,short trip,2,3,budget,low-cost apartment,7500.0,['jammu'],"['Simply', 'Jammu', 'Tour']"
surreal kashmir honeymoon trip for couples,honeymoon_package,"jammu ,   srinagar",2,long trip,7,8,standard,standard hotel,24000.0,"['jammu', 'srinagar']","['Surreal', 'Kashmir', 'Honeymoon', 'Trip', 'for', 'Couples']"
"wonders of katra, jammu and patnitop",holiday_package,"jammu ,  katra ,  patnitop ,  katra",4,medium trip,6,7,standard,3-star hotel,26000.0,"['jammu', 'katra', 'patnitop', 'katra']","['Wonders', 'of', 'Katra', 'Jammu', 'and', 'Patnitop']"
katra srinagar tour package - 7 nights 8 days,holiday_package,"srinagar ,   pahalgam ,   katra",3,long trip,7,8,premium,4-star hotel,30999.0,"['srinagar', 'pahalgam', 'katra']","['Katra', 'Srinagar', 'Tour', 'Package', '7', 'Nights', '8', 'Days']"
amarnath yatra tour package with vaishno devi from delhi,spiritual packages,"delhi ,   katra ,   srinagar ,   baltal ,   srinagar",5,long trip,7,8,premium,4-star hotel,37090.0,"['delhi', 'katra', 'srinagar', 'baltal', 'srinagar']","['Amarnath', 'Yatra', 'Tour', 'Package', 'With', 'Vaishno', 'Devi', 'from', 'Delhi']"
wonderous kashmir super deluxe honeymoon package,honeymoon_package,"srinagar ,   katra ,   pahalgam ,   srinagar",4,long trip,7,8,standard,standard hotel,28200.0,"['srinagar', 'katra', 'pahalgam', 'srinagar']","['Wonderous', 'Kashmir', 'Super', 'Deluxe', 'Honeymoon', 'Package']"
best of kashmir honeymoon package with vaishno devi trip,honeymoon_package,"srinagar ,   katra ,   pahalgam ,   srinagar",4,medium trip,6,7,standard,3-star hotel,26150.0,"['srinagar', 'katra', 'pahalgam', 'srinagar']","['Best', 'of', 'Kashmir', 'Honeymoon', 'Package', 'with', 'Vaishno', 'Devi', 'Trip']"
dharamshala dalhousie honeymoon tour with vaishno devi,honeymoon_package,"jammu ,   katra ,   dharamshala ,   dalhousie",4,medium trip,5,6,standard,3-star hotel,24499.0,"['jammu', 'katra', 'dharamshala', 'dalhousie']","['Dharamshala', 'Dalhousie', 'Honeymoon', 'Tour', 'with', 'Vaishno', 'Devi']"
summer delight patnitop sightseeing tour package,holiday_package,"jammu ,   patnitop",2,short trip,2,3,budget,low-cost apartment,7999.0,"['jammu', 'patnitop']","['Summer', 'Delight', 'Patnitop', 'Sightseeing', 'Tour', 'Package']"
patnitop on a budget,budget_package,patnitop,1,medium trip,3,4,budget,budget hotel,7250.0,['patnitop'],"['Patnitop', 'on', 'a', 'Budget']"
vaishno devi tour package from katra,spiritual packages,katra,1,short trip,2,3,budget,low-cost apartment,10000.0,['katra'],"['Vaishno', 'Devi', 'Tour', 'Package', 'from', 'Katra']"
"wonders of patnitop, katra from jammu",holiday_package,"jammu ,  katra ,  patnitop ,  katra",4,medium trip,6,7,standard,3-star hotel,26000.0,"['jammu', 'katra', 'patnitop', 'katra']","['Wonders', 'of', 'Patnitop', 'Katra', 'from', 'Jammu']"
splendid jammu and patnitop deal,holiday_package,"jammu ,  patnitop",2,medium trip,4,5,standard,3-star hotel,18000.0,"['jammu', 'patnitop']","['Splendid', 'Jammu', 'and', 'Patnitop', 'Deal']"
exciting patnitop and katra,holiday_package,"katra ,  patnitop",2,medium trip,4,5,standard,3-star hotel,18000.0,"['katra', 'patnitop']","['Exciting', 'Patnitop', 'and', 'Katra']"
super saver patnitop,holiday_package,patnitop,1,short trip,2,3,budget,low-cost apartment,7000.0,['patnitop'],"['Super', 'Saver', 'Patnitop']"
4 night 5 days gulmarg honeymoon package,honeymoon_package,"jammu ,   patnitop ,   srinagar ,   gulmarg ,   pahalgam",5,medium trip,4,5,standard,3-star hotel,16169.0,"['jammu', 'patnitop', 'srinagar', 'gulmarg', 'pahalgam']","['4', 'Night', '5', 'Days', 'Gulmarg', 'Honeymoon', 'Package']"
"blissful gulmarg honeymoon package with patnitop, srinagar & more",honeymoon_package,"jammu ,   patnitop ,   srinagar ,   gulmarg ,   pahalgam",5,medium trip,4,5,standard,3-star hotel,16169.0,"['jammu', 'patnitop', 'srinagar', 'gulmarg', 'pahalgam']","['Blissful', 'Gulmarg', 'Honeymoon', 'Package', 'with', 'Patnitop', 'Srinagar', 'More']"
"glimpse of kashmir, ladakh and kargil holiday package",holiday_package,"srinagar houseboat ,  kargil ,   leh ,   pangong lake ,   leh ,  nubra valley ,   leh",10,long trip,9,10,luxury,5-star resort,78040.0,"['srinagar', 'houseboat', 'kargil', 'leh', 'pangong', 'lake', 'leh', 'nubra', 'valley', 'leh']","['Glimpse', 'of', 'Kashmir', 'Ladakh', 'and', 'Kargil', 'Holiday', 'Package']"
essence of kargil tour package with kashmir and  ladakh,holiday_package,"srinagar ,   kargil ,   leh ,   nubra valley ,   hunder ,   pangong ,   leh",8,long trip,10,11,luxury,5-star resort,88700.0,"['srinagar', 'kargil', 'leh', 'nubra', 'valley', 'hunder', 'pangong', 'leh']","['Essence', 'of', 'Kargil', 'Tour', 'Package', 'with', 'Kashmir', 'and', 'Ladakh']"
gulmarg honeymoon package for couples with leh ladakh,honeymoon_package,"srinagar  ,   gulmarg ,   kargil  ,   ladakh",4,long trip,7,8,premium,4-star hotel,39500.0,"['srinagar', 'gulmarg', 'kargil', 'ladakh']","['Gulmarg', 'Honeymoon', 'Package', 'for', 'Couples', 'with', 'Leh', 'Ladakh']"
enthralling srinagar with ladakh honeymoon package,honeymoon_package,"srinagar  ,   gulmarg ,   kargil  ,   ladakh",4,long trip,7,8,premium,4-star hotel,37500.0,"['srinagar', 'gulmarg', 'kargil', 'ladakh']","['Enthralling', 'Srinagar', 'with', 'Ladakh', 'Honeymoon', 'Package']"
best of kashmir and ladakh luxury honeymoon package,luxury_package,"srinagar  ,   gulmarg ,   kargil  ,   ladakh",4,long trip,7,8,premium,4-star hotel,37500.0,"['srinagar', 'gulmarg', 'kargil', 'ladakh']","['Best', 'of', 'Kashmir', 'and', 'Ladakh', 'Luxury', 'Honeymoon', 'Package']"
best of kashmir leh ladakh honeymoon package,honeymoon_package,"srinagar  ,   kargil  ,   ladakh",3,long trip,7,8,premium,4-star hotel,37500.0,"['srinagar', 'kargil', 'ladakh']","['Best', 'of', 'Kashmir', 'Leh', 'Ladakh', 'Honeymoon', 'Package']"
"dazzling srinagar, kargil & more",holiday_package,"srinagar ,  kargil ,  ladakh ,  nubra valley ,  ladakh ,  manali",7,long trip,9,10,premium,4-star hotel,40500.0,"['srinagar', 'kargil', 'ladakh', 'nubra', 'valley', 'ladakh', 'manali']","['Dazzling', 'Srinagar', 'Kargil', 'More']"
"incredible ladakh, manali, nubra & more",holiday_package,"manali ,  srinagar ,  kargil ,  ladakh ,  nubra valley ,  ladakh",7,long trip,9,10,premium,4-star hotel,42000.0,"['manali', 'srinagar', 'kargil', 'ladakh', 'nubra', 'valley', 'ladakh']","['Incredible', 'Ladakh', 'Manali', 'Nubra', 'More']"
ultimate arunachal pradesh package,holiday_package,"bomdila ,   tawang ,   bhalukpong",3,medium trip,4,5,standard,3-star hotel,22000.0,"['bomdila', 'tawang', 'bhalukpong']","['Ultimate', 'Arunachal', 'Pradesh', 'Package']"
river cruise and jungle safari: magical assam meghalaya,nature_package,"guwahati  ,   shillong ,  cherrapunji ,   shillong ,   kaziranga national park ,  guwahati",8,medium trip,6,7,standard,3-star hotel,26999.0,"['guwahati', 'shillong', 'cherrapunji', 'shillong', 'kaziranga', 'national', 'park', 'guwahati']","['River', 'Cruise', 'and', 'Jungle', 'Safari', 'Magical', 'Assam', 'Meghalaya']"
gems of assam meghalaya holiday package with elephant safari,offbeat_package,"guwahati  ,   kaziranga national park ,  shillong ,  cherrapunji ,  guwahati",7,medium trip,6,7,standard,3-star hotel,29000.0,"['guwahati', 'kaziranga', 'national', 'park', 'shillong', 'cherrapunji', 'guwahati']","['Gems', 'of', 'Assam', 'Meghalaya', 'Holiday', 'Package', 'with', 'Elephant', 'Safari']"
"northeast highlights - guwahati, shillong, kaziranga & more",holiday_package,"shillong ,  bhalukpong ,  dirang ,  tawang ,  bomdila ,  kaziranga ,  guwahati",7,long trip,11,12,luxury,5-star resort,58000.0,"['shillong', 'bhalukpong', 'dirang', 'tawang', 'bomdila', 'kaziranga', 'guwahati']","['Northeast', 'Highlights', 'Guwahati', 'Shillong', 'Kaziranga', 'More']"
assam family tour packages,family_package,"guwahati  ,   kaziranga national park ,  shillong ,  cherrapunji ,  guwahati",7,medium trip,6,7,standard,3-star hotel,29000.0,"['guwahati', 'kaziranga', 'national', 'park', 'shillong', 'cherrapunji', 'guwahati']","['Assam', 'Family', 'Tour', 'Packages']"
arunachal pradesh tour itinerary 6 days with guwahati,holiday_package,"guwahati ,   bhalukpong ,   bomdila ,   dirang ,   tawang",5,medium trip,5,6,standard,3-star hotel,23000.0,"['guwahati', 'bhalukpong', 'bomdila', 'dirang', 'tawang']","['Arunachal', 'Pradesh', 'Tour', 'Itinerary', '6', 'Days', 'with', 'Guwahati']"
assam tour packages including bhalukpong,holiday_package,"guwahati ,   bhalukpong ,  dirang ,  bomdila ,   tawang ,  tezpur",6,long trip,7,8,premium,4-star hotel,32500.0,"['guwahati', 'bhalukpong', 'dirang', 'bomdila', 'tawang', 'tezpur']","['Assam', 'Tour', 'Packages', 'Including', 'Bhalukpong']"
assam tour packages for 8 nights 9 days,holiday_package,"guwahati ,   cherrapunji ,   mawlynnong ,   dawki ,   jowai ,   shillong ,   mawsynram ,   guwahati",8,long trip,8,9,premium,4-star hotel,42120.0,"['guwahati', 'cherrapunji', 'mawlynnong', 'dawki', 'jowai', 'shillong', 'mawsynram', 'guwahati']","['Assam', 'Tour', 'Packages', 'for', '8', 'Nights', '9', 'Days']"
9 days arunachal pradesh and assam group tour itinerary package,family_package,"bhalukpong ,  dirang ,  tawang ,  bomdila ,  tezpur ,  shillong ,  cherrapunjee",7,long trip,8,9,standard,standard hotel,25999.0,"['bhalukpong', 'dirang', 'tawang', 'bomdila', 'tezpur', 'shillong', 'cherrapunjee']","['9', 'Days', 'Arunachal', 'Pradesh', 'and', 'Assam', 'Group', 'Tour', 'Itinerary', 'Package']"
"royal patna, giridih & 2 places",holiday_package,"patna ,  giridih ,  rajgir ,  patna",4,long trip,7,8,standard,standard hotel,20000.0,"['patna', 'giridih', 'rajgir', 'patna']","['Royal', 'Patna', 'Giridih', '2', 'places']"
"bilaspur, korba, ambikapur & more in 8 days",holiday_package,"bilaspur ,   korba ,   mainpat ,   ambikapur ,   chirmiri ,   achanakmar",6,long trip,8,9,premium,4-star hotel,32000.0,"['bilaspur', 'korba', 'mainpat', 'ambikapur', 'chirmiri', 'achanakmar']","['Bilaspur', 'Korba', 'Ambikapur', 'More', 'in', '8', 'Days']"
heritage bhuj and dholavira tour with rann utsav,cultural_package,"bhuj ,   hodka",2,medium trip,4,5,standard,3-star hotel,24633.0,"['bhuj', 'hodka']","['Heritage', 'Bhuj', 'and', 'Dholavira', 'Tour', 'with', 'Rann', 'Utsav']"
statue of unity deluxe package,holiday_package,vadodara,1,short trip,2,3,budget,low-cost apartment,6500.0,['vadodara'],"['Statue', 'of', 'Unity', 'Deluxe', 'Package']"
"vibrant gujarat - dwarka, somnath, gir and diu",holiday_package,"dwarka  ,   somnath  ,   gir  ,   diu",4,medium trip,5,6,premium,5-star hotel,32856.0,"['dwarka', 'somnath', 'gir', 'diu']","['Vibrant', 'Gujarat', 'Dwarka', 'Somnath', 'Gir', 'and', 'Diu']"
