package_name,category_of_package,cities_to_be_visit,count_of_cities,categories_by_days,no_of_nights,no_of_days,categories_by_price,accommodation_facility,price,tokenized_cities_to_be_visit,tokenized_package_name
ooty kodaikanal honeymoon in hills package from bangalore,honeymoon_package,"bangalore ,  mysore ,  ooty ,  kodaikanal",4,medium trip,6,7,standard,3-star hotel,18000.0,"['bangalore', 'mysore', 'ooty', 'kodaikanal']","['Ooty', 'Kodaikanal', 'Honeymoon', 'in', 'Hills', 'Package', 'from', 'Bangalore']"
"mysore, ooty & coonoor honeymoon tour package from bangalore",honeymoon_package,"bangalore ,   mysore ,   ooty",3,medium trip,3,4,budget,budget hotel,14350.0,"['bangalore', 'mysore', 'ooty']","['Mysore', 'Ooty', 'Coonoor', 'Honeymoon', 'Tour', 'Package', 'from', 'Bangalore']"
dreamy honeymoon in kodaikanal with ooty & mysore tour,honeymoon_package,"bangalore ,   mysore ,   ooty ,   kodaikanal",4,medium trip,5,6,standard,3-star hotel,20000.0,"['bangalore', 'mysore', 'ooty', 'kodaikanal']","['Dreamy', 'Honeymoon', 'in', 'Kodaikanal', 'with', 'Ooty', 'Mysore', 'Tour']"
"beautiful honeymoon in mysore, ooty and kodaikanal",honeymoon_package,"bangalore ,   mysore ,   ooty ,   kodaikanal",4,medium trip,5,6,standard,3-star hotel,18800.0,"['bangalore', 'mysore', 'ooty', 'kodaikanal']","['Beautiful', 'Honeymoon', 'in', 'Mysore', 'Ooty', 'and', 'Kodaikanal']"
hampi weekend getaway tour package,weekend_package,hampi,1,short trip,1,2,budget,low-cost apartment,4000.0,['hampi'],"['Hampi', 'Weekend', 'Getaway', 'Tour', 'Package']"
ruins of hampi tour package,holiday_package,hampi,1,short trip,2,3,budget,low-cost apartment,5000.0,['hampi'],"['Ruins', 'of', 'Hampi', 'Tour', 'Package']"
leisure & heritage package: chikmagalur & hampi from bangalore,luxury_package,"bangalore ,   chikmagalur ,   hampi",3,medium trip,5,6,budget,budget hotel,13799.0,"['bangalore', 'chikmagalur', 'hampi']","['Leisure', 'Heritage', 'Package', 'Chikmagalur', 'Hampi', 'from', 'Bangalore']"
historical hampi tour from bangalore,cultural_package,"bangalore ,   hospet",2,medium trip,4,5,budget,budget hotel,9000.0,"['bangalore', 'hospet']","['Historical', 'Hampi', 'Tour', 'from', 'Bangalore']"
gokarna tent stay with adventure activities,adventure_package,gokarna,1,short trip,1,2,budget,low-cost apartment,2999.0,['gokarna'],"['Gokarna', 'Tent', 'Stay', 'With', 'Adventure', 'Activities']"
goa & gokarna tour,holiday_package,goa,1,medium trip,3,4,budget,budget hotel,14300.0,['goa'],"['Goa', 'Gokarna', 'Tour']"
holy karnataka pilgrimage package,spiritual packages,"bangalore ,   kukke subrahmanya ,   mangalore ,   udupi ,   gokarna ,   sirsi ,   kollur ,   horanadu",9,long trip,7,8,premium,4-star hotel,38750.0,"['bangalore', 'kukke', 'subrahmanya', 'mangalore', 'udupi', 'gokarna', 'sirsi', 'kollur', 'horanadu']","['Holy', 'Karnataka', 'Pilgrimage', 'Package']"
nature escape from bangalore to chikmagalur,nature_package,"bangalore ,   mysore ,   chikmagalur",3,medium trip,4,5,budget,budget hotel,12649.0,"['bangalore', 'mysore', 'chikmagalur']","['Nature', 'Escape', 'from', 'Bangalore', 'to', 'Chikmagalur']"
unforgettable ooty honeymoon package from bangalore,honeymoon_package,"bangalore ,   ooty",2,short trip,2,3,budget,low-cost apartment,7300.0,"['bangalore', 'ooty']","['Unforgettable', 'Ooty', 'Honeymoon', 'Package', 'from', 'Bangalore']"
fun getaway from bangalore to mysore and ooty,holiday_package,"bangalore ,   mysore ,   ooty",3,medium trip,4,5,budget,budget hotel,5000.0,"['bangalore', 'mysore', 'ooty']","['Fun', 'Getaway', 'from', 'Bangalore', 'to', 'Mysore', 'and', 'Ooty']"
heritage bangalore tour package with hampi & chikmagalur,cultural_package,"bangalore ,   chikmagalur ,   hampi",3,medium trip,5,6,budget,budget hotel,13799.0,"['bangalore', 'chikmagalur', 'hampi']","['Heritage', 'Bangalore', 'Tour', 'Package', 'with', 'Hampi', 'Chikmagalur']"
weekend getaway to yercaud from bangalore,weekend_package,"bangalore ,   yercaud",2,short trip,2,3,budget,low-cost apartment,6000.0,"['bangalore', 'yercaud']","['Weekend', 'Getaway', 'to', 'Yercaud', 'from', 'Bangalore']"
amazing bangalore mysore  ooty kodaikanal tour package,holiday_package,"bangalore ,  mysore ,  ooty ,  kodaikanal",4,medium trip,6,7,standard,3-star hotel,25000.0,"['bangalore', 'mysore', 'ooty', 'kodaikanal']","['Amazing', 'Bangalore', 'Mysore', 'Ooty', 'Kodaikanal', 'Tour', 'Package']"
"enchanting trio: bangalore, mysore & kodaikanal",holiday_package,"bangalore ,   mysore ,   kodaikanal",3,medium trip,4,5,standard,3-star hotel,16649.0,"['bangalore', 'mysore', 'kodaikanal']","['Enchanting', 'Trio', 'Bangalore', 'Mysore', 'Kodaikanal']"
